text,label
"भारतीय निर्वाचन आयोग
                ELECTION COMMISSION OF INDIA
                मतदाता पहचान पत्र/VOTER ID
                
                नाम/Name: PUSHPA TIWARI
                पिता का नाम/Father: RAM PRASAD
                मतदाता संख्या/EPIC: DVB5003894",VOTER_ID
"आयकर विभाग INCOME TAX DEPT
                भारत सरकार GOVT OF INDIA
                स्थायी खाता संख्या कार्ड
                
                नाम/Name: ARJUN REDDY
                पिता/Father: MAHENDRA SINGH
                जन्म तिथि/DOB: 22/08/1981
                स्थायी खाता संख्या/PAN: RCARZ9287T",PAN_CARD
"भारत सरकार GOVERNMENT OF INDIA
                आधार AADHAAR
                
                नाम/Name: DEEPIKA JOSHI
                जन्म तिथि/DOB: 22/12/2001  
                आधार संख्या/Aadhaar No.: 8918 4522 2565
                पता/Address: 869 Basavanagudi, Ahmedabad 400001",AADHAR_CARD
"Punjab सरकार
                राजस्व विभाग
                
                जाति प्रमाण पत्र
                CASTE CERTIFICATE
                
                श्री/श्रीमती USHA SAXENA
                पुत्र/पुत्री: NARENDRA PRASAD
                निवासी: 152 Rajajinagar, Ludhiana 600003
                
                जाति: SHARMA
                श्रेणी: SC",COMMUNITY_CERTIFICATE
"HEALTH SMART CARD
                EMPLOYEE HEALTH SCHEME
                
                Beneficiary Name: RAJESH KUMAR
                Card Number: MA993409813
                Family ID: FAM44353
                
                Address: 12 Whitefield, Bhopal 600004
                Mobile: +91 9819254540
                
                Valid Till: 25/03/2026",SMART_CARD
"ELECTION COMMISSION OF INDIA
                ELECTORAL PHOTO IDENTITY CARD
                
                Name: NARESH TIWARI
                Father's Name: SURESH KUMAR
                EPIC No: PKW1871985
                Age: 46
                Address: 239 Basavanagudi, Nashik 600004",VOTER_ID
"BRUHAT BENGALURU MAHANAGARA PALIKE
                CERTIFICATE OF BIRTH
                REGISTRAR OF BIRTHS AND DEATHS
                
                This is to certify that the following particulars have been compiled from the original records.
                
                Name: GEETA AGARWAL
                Date of Birth: 24/12/1977
                Place of Birth: Kanpur
                Father's Name: GANESH PRASAD
                Mother's Name: SHOBA DUBEY
                
                Registration Number: MUM/1977/19183
                Date of Registration: 07/01/2023",BIRTH_CERTIFICATE
"EMPLOYEE SMART CARD
                Healthcare Ltd
                
                Name: DEEPAK SRIVASTAVA
                Employee ID: EMP5504
                Department: IT
                Designation: Analyst
                
                Valid From: 08/03/2023
                Valid Till: 13/07/2030",SMART_CARD
"CBSE BOARD OF EDUCATION
                CLASS XII EXAMINATION
                MARK SHEET
                
                Name: POOJA MISHRA
                Father Name: MAHENDRA SINGH
                Roll Number: 880508
                
                SUBJECTS:
                English: 97/100
Mathematics: 80/100
Science: 72/100
Social Studies: 94/100
Hindi: 91/100
                
                Total Marks: 303
                Percentage: 77.02%
                Grade: A1
                Result: PASS",MARKSHEET
"INCOME TAX DEPARTMENT
                GOVERNMENT OF INDIA
                PERMANENT ACCOUNT NUMBER CARD
                
                Name: DEEPIKA JOSHI
                Father's Name: MOHAN LAL
                Date of Birth: 05/11/1990
                PAN: IJKPL6124O
                Signature",PAN_CARD
"EMPLOYEE SMART CARD
                Tech Corp
                
                Name: NARESH TIWARI
                Employee ID: EMP9260
                Department: IT
                Designation: Analyst
                
                Valid From: 22/11/2020
                Valid Till: 18/01/2027",SMART_CARD
"MUMBAI MUNICIPAL CORPORATION
                जन्म प्रमाण पत्र
                
                नाम/Name: RADHA KRISHNA
                जन्म तिथि/Date of Birth: 15/05/1966
                जन्म स्थान/Place of Birth: Delhi
                पिता का नाम/Father: BRIJESH KUMAR
                माता का नाम/Mother: SITA GUPTA
                
                पंजीकरण संख्या: CHN/1966/92344",BIRTH_CERTIFICATE
"GOVERNMENT OF Madhya Pradesh
                REVENUE DEPARTMENT
                
                COMMUNITY CERTIFICATE
                
                This is to certify that Sri/Smt SANJAY DUBEY
                Son/Daughter of MOHAN LAL
                Residing at: 769 Anna Nagar, Coimbatore 600005
                
                Belongs to OBC CATEGORY
                Community: SHARMA
                
                This certificate is issued for the purpose of employment.
                
                Valid until: 09/02/2026",COMMUNITY_CERTIFICATE
